GTINs/EANS;Référence interne;Marque ID;Score;Catégorie;Masse (en kg);Remanufacturé;Nombre de références;Prix (en euros, TTC);Taille de l'entreprise;Matière 1;Matière 1 pourcentage;Matière 1 origine;Matière 2;Matière 2 pourcentage;Matière 2 origine;Matière 3;Matière 3 pourcentage;Matière 3 origine;Matière 4;Matière 4 pourcentage;Matière 4 origine;Matière 5;Matière 5 pourcentage;Matière 5 origine;Matière 6;Matière 6 pourcentage;Matière 6 origine;Matière 7;Matière 7 pourcentage;Matière 7 origine;Matière 8;Matière 8 pourcentage;Matière 8 origine;Matière 9;Matière 9 pourcentage;Matière 9 origine;Matière 10;Matière 10 pourcentage;Matière 10 origine;Matière 11;Matière 11 pourcentage;Matière 11 origine;Matière 12;Matière 12 pourcentage;Matière 12 origine;Matière 13;Matière 13 pourcentage;Matière 13 origine;Matière 14;Matière 14 pourcentage;Matière 14 origine;Matière 15;Matière 15 pourcentage;Matière 15 origine;Matière 16;Matière 16 pourcentage;Matière 16 origine;Origine de filature;Origine de tissage/tricotage;Origine de l'ennoblissement/impression;Type d'impression;Pourcentage d'impression;Origine de confection;Délavage;Part du transport aérien;Quantité de bouton en métal;Quantité de bouton en plastique;Quantité de zip long;Quantité de zip court
4234567899951;REF-125;26ed7820-ebca-4235-b1d3-dbeab02b1768;;jeans;0.2;Non;;;;Polypropylène;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chine;Chine;;;Chine;;;1;;;
9234567891004;9234567891004;;;pull;0.001;;-1;-1;;Viscose;-90,00 %;;Jute;-10,00 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pigmentaire;-1%;;;-1,00 %;-1;;;
1134567891005;1134567891005;;;pull;0.1;;1000000;1001;;Viscose;110,00 %;;Jute;-10,00 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pigmentaire;112%;;;111,00 %;;;;
2134567891004;REF-126;;;tshirt;0.99;Oui;;;;Acrylique;100.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chine;;;1;;;
3134567891003;3134567891003;;;tshirt;0.99;Non;;;;Acrylique;100.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chine;;;1;;;
4134567891002;REF-127;;;tshirt;0.99;Oui;;;;Acrylique;100.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chine;;;;;;
5134567891001;REF-128;;;tshirt;0.99;Oui;;;;Acrylique;100.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chine;;;0;;;
4234567899944;4234567899944-1;26ed7820-ebca-4235-b1d3-dbeab02b1768;;jeans;0.2;Non;;;;Polypropylène;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chine;Chine;;;Chine;;;1;;;
4234567899944;4234567899944-2;;;tshirt;0.99;Oui;;;;Acrylique;100.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chine;;;0;;;
1234567890128;REF-129;;;tshirt;0.99;Oui;;;;Acrylique;100.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chine;;;0;;;
1234567891125;1234567891125;;;tshirt;0.99;Oui;;;;Acrylique;100.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chine;;;0;;;
